participant_id	original_participant_id	species	sex
sub-fly+087	sub-fly_087	Drosophila melanogaster	F
sub-fly+089	sub-fly_089	Drosophila melanogaster	F
sub-fly+094	sub-fly_094	Drosophila melanogaster	F
sub-fly+097	sub-fly_097	Drosophila melanogaster	F
sub-fly+098	sub-fly_098	Drosophila melanogaster	F
sub-fly+099	sub-fly_099	Drosophila melanogaster	F
sub-fly+100	sub-fly_100	Drosophila melanogaster	F
sub-fly+101	sub-fly_101	Drosophila melanogaster	F
sub-fly+105	sub-fly_105	Drosophila melanogaster	F
